Model,MAE,RMSE,R2
Linear Regression,0.8842735106279404,1.1334826321472047,0.3089389046111142
Ridge Regression,0.8841339994349098,1.1332545840855468,0.3092169490828174
Random Forest,0.7973061868686868,1.0488720899065094,0.40825886213239204
Gradient Boosting,0.7893996034490404,1.0389741181742111,0.41937442395551394
Hist Gradient Boosting,0.7758563584539703,1.0265835332525473,0.4331406797098927
Hist Gradient Boosting (Tuned),0.7811712553153818,1.0303177293843686,0.4290092794385709
